Local,Resultado,Visitante,Link
KLINIK · PM CAROLINAS,SÁBADO 12/04/2025 19:00,CBI ELCHE X MAXIWATT,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415344
UCAM MURCIA JUVER C.B.,SÁBADO 12/04/2025 19:30,RIGALLI ALGINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415345
ADESAVI A,DOMINGO 13/04/2025 12:00,REAL MURCIA BALONCESTO,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415347
SERCOMOSA MOLINA BASKET,SÁBADO 12/04/2025 20:00,CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415348
C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,SÁBADO 12/04/2025 19:00,LUCENTUM ALICANTE,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415349
DENIA BASQUET,SÁBADO 12/04/2025 19:30,ESET ONTINET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415350
CBI ELCHE X MAXIWATT,SÁBADO 26/04/2025 19:00,DENIA BASQUET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415351
ESET ONTINET,SÁBADO 26/04/2025 19:00,C.B. JORGE JUAN TÁRTAROS GONZALO CASTELLÓ,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415352
LUCENTUM ALICANTE,SÁBADO 26/04/2025 19:00,SERCOMOSA MOLINA BASKET,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415353
CLUB BÀSQUET SUECA VIDRIOLA INMOBLES,SÁBADO 26/04/2025 19:00,ADESAVI A,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415354
REAL MURCIA BALONCESTO,SÁBADO 26/04/2025 19:00,SERVIGROUP BENIDORM,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415355
RIGALLI ALGINET,SÁBADO 26/04/2025 19:00,KLINIK · PM CAROLINAS,https://baloncestoenvivo.feb.es/Partido.aspx?p=2415357
